level=info msg="Queuing URLs for africaioc"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=173"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=142"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=141"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=68"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=140"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=163"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=69"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=90"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=212"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=147"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=91"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=213"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=149"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=174"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=109"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=153"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=177"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=249"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=99"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=148"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=100"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=149"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=178"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=180"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=226"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=235"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=250"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=140"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=137"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=253"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=182"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=236"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=183"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=133"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=144"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=255"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=256"
level=info contentType="script[type='application/ld+json']" url="https://nodc.ioc-africa.org/tunisia"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=160"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=74"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=224"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=65"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=132"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=214"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=110"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=55"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/oceanProjects.php?id=111"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=49"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/previousExpeditions.php?id=154"
level=debug contentType="json or ld_json" url="https://ioc-africa.org/dbs/jsonld/researchVessels.php?id=57"
