severity,constraint,path,message,focusURL,value,shape
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj4cbk59mc73f1p5d0,"{'type': 'Point', 'coordinates': [-124.769333, 49.4868853]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj433k59mc73f1nk20,"{'type': 'Polygon', 'coordinates': [[[-72.547949, 46.3042972], [-72.5628091, 46.3042972], [-72.5628091, 46.2945601], [-72.547949, 46.2945601], [-72.547949, 46.3042972]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3ibk59mc73f1l0sg,"{'type': 'Point', 'coordinates': [-123.4862866667, 48.6511783333]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3nrk59mc73f1luj0,"{'type': 'Point', 'coordinates': [-123.426333333, 49.03975]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj453k59mc73f1o0v0,"{'type': 'Polygon', 'coordinates': [[[-71.9971771, 46.6078819], [-72.7729319, 46.6078819], [-72.7729319, 46.1987001], [-71.9971771, 46.1987001], [-71.9971771, 46.6078819]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj3ejk59mc73f1kh3g,"{'type': 'Polygon', 'coordinates': [[[-70.3, 47.4], [-61.765, 47.4], [-61.765, 50.471], [-70.3, 50.471], [-70.3, 47.4]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,"The string must consists of numeric, space-separated items.",https://gleaner.io/xid/genid/cggj2rjk59mc73f1hh5g,"{'type': 'Polygon', 'coordinates': [[[-52.702358, 69.438226], [-138.85, 69.438226], [-138.85, 42.2501], [-52.702358, 42.2501], [-52.702358, 69.438226]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj35bk59mc73f1j12g,"{'type': 'Point', 'coordinates': [-123.317605, 49.0421267]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3a3k59mc73f1joug,"{'type': 'Point', 'coordinates': [-123.3912833, 48.3003167]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj4erk59mc73f1ph5g,"{'type': 'Polygon', 'coordinates': [[[-128.0575, 48.4165], [-129.5135, 48.4275], [-136.9833, 47.4217], [-138.5117, 47.4], [-138.5255, 47.42], [-140.0017, 47.4133], [-141.4917, 47.4417], [-142.98, 47.43], [-143.0117, 48.395], [-144.4817, 48.4033], [-145.9817, 48.415], [-147.5017, 48.3917], [-147.525, 49.4067], [-147.5138, 50.4198], [-147.505, 50.3233], [-147.515, 51.4033], [-146.0167, 51.4233], [-145.9567, 51.3417], [-146.0067, 50.4083], [-144.4983, 50.4117], [-144.5067, 51.4983], [-143.005, 51.48], [-140.0417, 53.38], [-135.5483, 54.435], [-134.035, 54.5617], [-132.4233, 54.3883], [-134.0017, 54.4], [-134.0283, 53.4167], [-135.48, 53.4133], [-137.0283, 53.4083], [-137.0333, 52.9033], [-138.65, 52.3983], [-138.58, 51.41], [-138.5555, 50.405], [-138.52, 49.4617], [-140.0033, 49.4367], [-141.505, 49.425], [-141.4917, 48.405], [-140.0217, 48.3817], [-138.5133, 48.4183], [-138.475, 47.3817], [-138.485, 46.37], [-136.9633, 47.3967], [-135.4167, 47.4033], [-133.9817, 47.4017], [-132.5083, 47.41], [-131.0683, 48.4067], [-130.07, 48.4217], [-129.115, 48.425], [-128.02, 48.4117], [-126.2, 48.4767], [-125.4467, 48.505], [-128.0575, 48.4165]]]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3r3k59mc73f1me20,"{'type': 'Point', 'coordinates': [-125.2815, 48.8082916667]}",geoPolygon
sh:Violation,sh:PatternConstraintComponent,schema:polygon,The polygon string must have the first and last items are the same,https://gleaner.io/xid/genid/cggj3mjk59mc73f1lo50,"{'type': 'Point', 'coordinates': [-123.48645, 48.6513033]}",geoPolygon
